Gender,Age,Debt,Married,BankCustomer,Education,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,ApprovalStatus
1,41.0,2.04,3,3,11,4,0.125,1,1,23,1,0,143,1236,0
2,31.92,4.46,2,1,3,4,6.04,1,1,3,0,0,103,300,0
2,41.5,1.54,2,1,7,1,3.5,0,0,0,0,0,74,0,0
2,23.92,0.665,2,1,2,8,0.165,0,0,0,0,0,31,0,0
1,25.75,0.5,2,1,2,4,0.875,1,0,0,1,0,149,0,0
2,26.0,1.0,2,1,11,8,1.75,1,0,0,1,0,96,0,0
2,37.42,2.04,2,1,13,8,0.04,1,0,0,1,0,129,5800,0
2,34.92,2.5,2,1,13,8,0.0,1,0,0,1,0,83,200,0
2,34.25,3.0,2,1,3,4,7.415,1,0,0,1,0,0,0,0
2,23.33,11.625,3,3,13,8,0.835,1,0,0,1,0,52,300,0
2,23.17,0.0,2,1,3,8,0.085,1,0,0,0,0,0,0,0
2,44.33,0.5,2,1,7,4,5.0,1,0,0,1,0,105,0,0
2,35.17,4.5,2,1,14,4,5.75,0,0,0,1,2,162,0,0
2,43.25,3.0,2,1,11,4,6.0,1,1,11,0,0,23,0,0
2,56.75,12.25,2,1,10,8,1.25,1,1,4,1,0,67,0,0
2,31.67,16.165,2,1,4,8,3.0,1,1,9,0,0,85,730,0
1,23.42,0.79,3,3,11,8,1.5,1,1,2,1,0,23,400,0
1,20.42,0.835,2,1,11,8,1.585,1,1,1,0,0,0,0,0
2,26.67,4.25,2,1,3,8,4.29,1,1,1,1,0,37,0,0
2,34.17,1.54,2,1,3,8,1.54,1,1,1,1,0,154,50000,0
1,36.0,1.0,2,1,2,8,2.0,1,1,11,0,0,0,456,0
2,25.5,0.375,2,1,10,8,0.25,1,1,3,0,0,90,15108,0
2,19.42,6.5,2,1,13,4,1.46,1,1,7,0,0,23,2954,0
2,35.17,25.125,2,1,14,4,1.625,1,1,1,1,0,152,500,0
2,32.33,7.5,2,1,5,1,1.585,1,0,0,1,2,134,0,1
2,34.83,4.0,2,1,4,1,12.5,1,0,0,1,0,170,0,1
1,38.58,5.0,2,1,3,8,13.5,1,0,0,1,0,167,0,1
2,44.25,0.5,2,1,10,8,10.75,1,0,0,0,2,129,0,1
2,44.83,7.0,3,3,2,8,1.625,0,0,0,0,0,52,2,1
2,20.67,5.29,2,1,11,8,0.375,1,1,1,0,0,52,0,1
2,34.08,6.5,2,1,1,8,0.125,1,0,0,1,0,140,0,1
1,19.17,0.585,3,3,1,8,0.585,1,0,0,1,0,52,0,1
2,21.67,1.165,3,3,9,8,2.5,1,1,1,0,0,62,20,1
2,21.5,9.75,2,1,2,8,0.25,1,0,0,0,0,44,0,1
2,49.58,19.0,2,1,6,3,0.0,1,1,1,0,0,28,0,1
1,27.67,1.5,2,1,10,8,2.0,1,0,0,0,2,116,0,1
2,39.83,0.5,2,1,10,8,0.25,1,0,0,0,2,97,0,1
1,31.568169,3.5,2,1,4,8,3.0,1,0,0,1,0,100,0,1
2,27.25,0.625,2,1,1,8,0.455,1,0,0,1,0,67,0,1
2,37.17,4.0,2,1,2,1,5.0,1,0,0,1,2,96,0,1
2,31.568169,0.375,2,1,4,8,0.875,1,0,0,1,2,166,0,1
2,25.67,2.21,3,3,1,8,4.0,1,0,0,0,0,65,0,1
2,34.0,4.5,2,1,1,8,1.0,1,0,0,1,0,84,0,1
1,49.0,1.5,2,1,8,5,0.0,1,0,0,1,0,31,27,1
2,62.5,12.75,3,3,2,4,5.0,1,0,0,0,0,35,0,1
2,31.42,15.5,2,1,2,8,0.5,1,0,0,0,0,37,0,1
2,31.568169,5.0,3,3,1,8,8.5,1,0,0,0,0,0,0,1
2,52.33,1.375,3,3,2,4,9.46,1,0,0,1,0,67,100,1
2,28.75,1.5,3,3,2,8,1.5,1,0,0,1,0,0,225,1
1,28.58,3.54,2,1,7,1,0.5,1,0,0,1,0,58,0,1
2,23.0,0.625,3,3,1,8,0.125,1,0,0,0,0,62,1,1
2,31.568169,0.5,2,1,2,1,0.835,1,0,0,1,2,105,0,1
1,22.5,11.0,3,3,11,8,3.0,1,0,0,1,0,92,0,1
1,28.5,1.0,2,1,11,8,1.0,1,1,2,1,0,55,500,1
2,37.5,1.75,3,3,2,1,0.25,1,0,0,1,0,54,400,1
2,35.25,16.5,3,3,2,8,4.0,1,0,0,0,0,23,0,1
2,18.67,5.0,2,1,11,8,0.375,1,1,2,0,0,0,38,1
2,25.0,12.0,2,1,9,8,2.25,1,1,2,1,0,37,5,1
2,27.83,4.0,3,3,7,4,5.75,1,1,2,1,0,21,0,1
2,54.83,15.5,2,1,5,9,0.0,1,1,20,0,0,49,130,1
2,28.75,1.165,2,1,9,8,0.5,1,0,0,0,2,96,0,1
1,25.0,11.0,3,3,1,8,4.5,1,0,0,0,0,37,0,1
2,40.92,2.25,3,3,14,4,10.0,1,0,0,1,0,60,0,1
1,19.75,0.75,2,1,2,8,0.795,1,1,5,1,0,44,5,1
2,29.17,3.5,2,1,13,8,3.5,1,1,3,1,0,106,0,1
1,24.5,1.04,3,3,6,3,0.5,1,1,3,0,0,62,147,1
2,24.58,12.5,2,1,13,8,0.875,1,0,0,1,0,90,0,1
1,33.75,0.75,2,1,9,1,1.0,1,1,3,1,0,73,0,1
2,20.67,1.25,3,3,2,4,1.375,1,1,3,1,0,44,210,1
1,25.42,1.125,2,1,11,8,1.29,1,1,2,0,0,67,0,1
2,37.75,7.0,2,1,11,4,11.5,1,1,7,1,0,100,5,1
2,52.5,6.5,2,1,9,8,6.29,1,1,15,0,0,0,11202,0
2,57.83,7.04,2,1,10,8,14.0,1,1,6,1,0,115,1332,0
1,20.75,10.335,2,1,3,4,0.335,1,1,1,1,0,23,50,0
2,39.92,6.21,2,1,11,8,0.04,1,1,1,0,0,67,300,0
2,25.67,12.5,2,1,3,8,1.21,1,1,67,1,0,44,258,0
1,24.75,12.5,2,1,1,8,1.5,1,1,12,1,0,37,567,0
1,44.17,6.665,2,1,11,8,7.375,1,1,3,1,0,0,0,0
1,23.5,9.0,2,1,11,8,8.5,1,1,5,1,0,37,0,0
2,34.92,5.0,2,1,14,4,7.5,1,1,6,1,0,0,1000,0
2,47.67,2.5,2,1,10,1,2.5,1,1,12,1,0,131,2510,0
2,22.75,11.0,2,1,11,8,2.5,1,1,7,1,0,31,809,0
2,34.42,4.25,2,1,7,1,3.25,1,1,2,0,0,94,610,0
1,28.42,3.5,2,1,13,8,0.835,1,0,0,0,2,96,0,0
2,67.75,5.5,2,1,5,9,13.0,1,1,1,1,0,0,0,0
2,20.42,1.835,2,1,2,8,2.25,1,1,1,0,0,31,150,0
1,47.42,8.0,2,1,5,1,6.5,1,1,6,0,0,121,51100,0
2,36.25,5.0,2,1,2,1,2.5,1,1,6,0,0,0,367,0
2,32.67,5.5,2,1,11,4,5.5,1,1,12,1,0,130,1000,0
2,48.58,6.5,2,1,11,4,6.0,1,0,0,1,0,112,0,0
2,39.92,0.54,3,3,1,8,0.5,1,1,3,0,0,67,1000,0
2,33.58,2.75,2,1,10,8,4.25,1,1,6,0,0,69,0,0
1,18.83,9.5,2,1,13,8,1.625,1,1,6,1,0,10,600,0
1,26.92,13.5,2,1,11,4,5.0,1,1,2,0,0,0,5000,0
1,31.25,3.75,2,1,3,4,0.625,1,1,9,1,0,63,0,0
1,56.5,16.0,2,1,8,3,0.0,1,1,15,0,0,0,247,0
2,43.0,0.29,3,3,3,4,1.75,1,1,8,0,0,31,375,0
2,22.33,11.0,2,1,13,8,2.0,1,1,1,0,0,23,278,0
2,27.25,1.665,2,1,3,4,5.085,1,1,9,0,0,128,827,0
2,32.83,2.5,2,1,3,4,2.75,1,1,6,0,0,52,2072,0
2,23.25,1.5,2,1,11,8,2.375,1,1,3,1,0,0,582,0
1,40.33,7.54,3,3,11,4,8.0,1,1,14,0,0,0,2300,0
1,30.5,6.5,2,1,2,1,4.0,1,1,7,1,0,0,3065,0
1,52.83,15.0,2,1,2,8,5.5,1,1,14,0,0,0,2200,0
1,46.67,0.46,2,1,3,4,0.415,1,1,11,1,0,139,6,0
1,58.33,10.0,2,1,11,8,4.0,1,1,14,0,0,0,1602,0
2,37.33,6.5,2,1,10,4,4.25,1,1,12,1,0,27,0,0
2,23.08,2.5,2,1,2,8,1.085,1,1,11,1,0,17,2184,0
2,32.75,1.5,2,1,3,4,5.5,1,1,3,1,0,0,0,0
1,21.67,11.5,3,3,8,5,0.0,1,1,11,1,0,0,0,0
1,28.5,3.04,3,3,14,4,2.54,1,1,1,0,0,19,0,0
1,68.67,15.0,2,1,5,9,0.0,1,1,14,0,0,0,3376,0
2,28.0,2.0,2,1,9,4,4.165,1,1,2,1,0,63,0,0
2,34.08,0.08,3,3,10,1,0.04,1,1,1,1,0,96,2000,0
2,27.67,2.0,2,1,14,4,1.0,1,1,4,0,0,44,7544,0
2,44.0,2.0,2,1,10,8,1.75,1,1,2,1,0,0,15,0
2,25.08,1.71,2,1,14,8,1.665,1,1,1,1,0,126,20,0
2,32.0,1.75,3,3,5,4,0.04,1,0,0,1,0,125,0,0
1,60.58,16.5,2,1,11,8,11.0,1,0,0,1,0,3,10561,0
1,40.83,10.0,2,1,11,4,1.75,1,0,0,0,0,7,837,0
2,19.33,9.5,2,1,11,8,1.0,1,0,0,1,0,17,400,0
1,32.33,0.54,2,1,3,8,0.04,1,0,0,0,0,139,11177,0
2,36.67,3.25,2,1,11,4,9.0,1,0,0,1,0,32,639,0
2,37.5,1.125,3,3,4,8,1.5,0,0,0,1,0,136,0,0
1,25.08,2.54,3,3,1,8,0.25,1,0,0,1,0,118,0,0
2,41.33,0.0,2,1,2,1,15.0,1,0,0,0,0,0,0,0
2,56.0,12.5,2,1,9,4,8.0,1,0,0,1,0,5,2028,0
1,49.83,13.585,2,1,9,4,8.5,1,0,0,1,0,0,0,0
2,22.67,10.5,2,1,11,4,1.335,1,0,0,0,0,31,0,0
2,27.0,1.5,3,3,13,8,0.375,1,0,0,1,0,90,1065,0
2,25.0,12.5,2,1,1,8,3.0,1,0,0,1,2,2,0,0
1,26.08,8.665,2,1,1,8,1.415,1,0,0,0,0,52,150,0
1,18.42,9.25,2,1,11,8,1.21,1,1,4,0,0,17,540,0
2,20.17,8.17,2,1,1,8,1.96,1,1,14,0,0,17,158,0
2,47.67,0.29,2,1,2,1,15.0,1,1,20,0,0,0,15000,0
1,21.25,2.335,2,1,7,1,0.5,1,1,4,0,2,23,0,0
1,20.67,3.0,2,1,11,8,0.165,1,1,3,0,0,31,6,0
1,57.08,19.5,2,1,2,8,5.5,1,1,7,0,0,0,3000,0
1,22.42,5.665,2,1,11,8,2.585,1,1,7,0,0,40,3257,0
2,48.75,8.5,2,1,2,4,12.5,1,1,9,0,0,63,1655,0
2,40.0,6.5,2,1,1,1,3.5,1,1,1,0,0,0,500,0
2,40.58,5.0,2,1,2,8,5.0,1,1,7,0,0,0,3065,0
1,28.67,1.04,2,1,2,8,2.5,1,1,5,1,0,100,1430,0
1,33.08,4.625,2,1,11,4,1.625,1,1,2,0,0,0,0,0
2,21.33,10.5,2,1,2,8,3.0,1,0,0,1,0,0,0,0
2,42.0,0.205,2,1,7,4,5.125,1,0,0,0,0,129,0,0
2,41.75,0.96,2,1,14,8,2.5,1,0,0,0,0,151,600,0
2,22.67,1.585,3,3,13,8,3.085,1,1,6,0,0,23,0,0
2,34.5,4.04,3,3,7,1,8.5,1,1,7,1,0,66,0,0
2,28.25,5.04,3,3,2,1,1.5,1,1,8,1,0,46,7,0
2,33.17,3.165,3,3,14,8,3.165,1,1,3,1,0,122,0,0
2,48.17,7.625,2,1,13,4,15.5,1,1,12,0,0,0,790,0
2,27.58,2.04,3,3,1,8,2.0,1,1,3,1,0,118,560,0
2,22.58,10.04,2,1,14,8,0.04,1,1,9,0,0,17,396,0
1,24.08,0.5,2,1,11,4,1.25,1,1,1,0,0,0,678,0
1,41.33,1.0,2,1,7,1,2.25,1,0,0,1,0,0,300,0
2,24.83,2.75,2,1,2,8,2.25,1,1,6,0,0,170,600,0
1,20.75,10.25,2,1,11,8,0.71,1,1,2,1,0,13,0,0
2,36.33,2.125,3,3,13,8,0.085,1,1,1,0,0,14,1187,0
1,35.42,12.0,2,1,11,4,14.0,1,1,8,0,0,0,6590,0
1,71.58,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0
2,28.67,9.335,2,1,11,4,5.665,1,1,6,0,0,123,168,0
2,35.17,2.5,2,1,9,8,4.5,1,1,7,0,0,48,1270,0
2,39.5,4.25,2,1,2,1,6.5,1,1,16,0,0,36,1210,0
2,39.33,5.875,2,1,3,4,10.0,1,1,14,1,0,128,0,0
2,24.33,6.625,3,3,4,8,5.5,1,0,0,1,2,31,0,0
2,60.08,14.5,2,1,6,3,18.0,1,1,15,1,0,0,1000,0
2,23.08,11.5,2,1,7,8,3.5,1,1,9,0,0,16,742,0
2,26.67,2.71,3,3,3,8,5.25,1,1,1,0,0,72,0,0
2,48.17,3.5,2,1,1,8,3.5,1,0,0,0,2,80,0,0
2,41.17,4.04,2,1,3,4,7.0,1,1,8,0,0,105,0,0
2,55.92,11.5,2,1,6,3,5.0,1,1,5,0,0,0,8851,0
2,53.92,9.625,2,1,5,8,8.665,1,1,5,0,0,0,0,0
1,18.92,9.25,3,3,2,8,1.0,1,1,4,1,0,23,500,0
1,50.08,12.54,2,1,1,8,2.29,1,1,3,1,0,51,0,0
2,65.42,11.0,2,1,5,9,20.0,1,1,7,1,0,4,0,0
1,17.58,9.0,2,1,1,8,1.375,1,0,0,1,0,0,0,0
1,18.83,9.54,2,1,1,8,0.085,1,0,0,0,0,31,0,0
1,37.75,5.5,2,1,11,8,0.125,1,0,0,1,0,79,0,0
2,23.25,4.0,2,1,2,1,0.25,1,0,0,1,0,52,0,0
2,18.08,5.5,2,1,9,8,0.5,1,0,0,0,0,23,0,0
1,22.5,8.46,3,3,14,8,2.46,0,0,0,0,0,54,0,0
2,19.67,0.375,2,1,11,8,2.0,1,1,2,1,0,23,0,0
2,22.08,11.0,2,1,3,8,0.665,1,0,0,0,0,31,0,0
2,25.17,3.5,2,1,3,8,0.625,1,1,7,0,0,0,7059,0
1,47.42,3.0,2,1,14,8,13.875,1,1,2,1,0,153,1704,0
2,33.5,1.75,2,1,14,4,4.5,1,1,4,1,0,87,857,0
2,27.67,13.75,2,1,13,8,5.75,1,0,0,1,0,148,500,0
1,58.42,21.0,2,1,7,1,10.0,1,1,13,0,0,0,6700,0
1,20.67,1.835,2,1,11,8,2.085,1,1,5,0,0,75,2503,0
2,26.17,0.25,2,1,7,1,0.0,1,0,0,1,0,0,0,0
2,21.33,7.5,2,1,1,8,1.415,1,1,1,0,0,23,9800,0
2,42.83,4.625,2,1,11,8,4.58,1,0,0,0,2,0,0,0
2,38.17,10.125,2,1,14,8,2.5,1,1,6,0,0,154,196,0
2,20.5,10.0,3,3,2,8,2.5,1,0,0,0,2,10,0,0
2,48.25,25.085,2,1,13,8,1.75,1,1,3,0,0,37,14,0
2,28.33,5.0,2,1,13,8,11.0,1,0,0,1,0,19,0,0
1,18.75,7.5,2,1,11,8,2.71,1,1,5,0,0,170,26726,0
2,18.5,2.0,2,1,7,8,1.5,1,1,2,0,0,37,300,0
2,33.17,3.04,3,3,2,4,2.04,1,1,1,1,0,62,18027,0
2,45.0,8.5,2,1,3,4,14.0,1,1,1,1,0,25,2000,0
1,19.67,0.21,2,1,11,4,0.29,1,1,11,0,0,23,99,0
0,24.5,12.75,2,1,2,1,4.75,1,1,2,0,0,20,444,0
2,21.83,11.0,2,1,14,8,0.29,1,1,6,0,0,38,0,0
2,40.25,21.5,2,1,5,9,20.0,1,1,11,0,0,0,1200,0
2,41.42,5.0,2,1,11,4,5.0,1,1,6,1,0,146,0,0
1,17.83,11.0,2,1,14,4,1.0,1,1,11,0,0,0,3000,0
2,23.17,11.125,2,1,14,4,0.46,1,1,1,0,0,31,0,0
2,31.568169,0.625,2,1,9,8,0.25,0,0,0,0,0,122,2010,1
2,18.17,10.25,2,1,2,4,1.085,0,0,0,0,0,105,13,1
2,20.0,11.045,2,1,2,8,2.0,0,0,0,1,0,43,0,1
2,20.0,0.0,2,1,4,8,0.5,0,0,0,0,0,46,0,1
1,20.75,9.54,2,1,7,8,0.04,0,0,0,0,0,67,1000,1
1,24.5,1.75,3,3,2,8,0.165,0,0,0,0,0,42,0,1
2,32.75,2.335,2,1,4,4,5.75,0,0,0,1,0,99,0,1
1,52.17,0.0,3,3,6,3,0.0,0,0,0,0,0,0,0,1
1,48.17,1.335,2,1,7,7,0.335,0,0,0,0,0,0,120,1
1,20.42,10.5,3,3,14,4,0.0,0,0,0,1,0,50,32,1
2,50.75,0.585,2,1,6,3,0.0,0,0,0,0,0,47,0,1
2,17.08,0.085,3,3,2,8,0.04,0,0,0,0,0,44,722,1
2,18.33,1.21,3,3,5,2,0.0,0,0,0,0,0,31,0,1
1,32.0,6.0,2,1,4,8,1.25,0,0,0,0,0,93,0,1
2,59.67,1.54,2,1,11,8,0.125,1,0,0,1,0,90,0,0
2,18.0,0.165,2,1,11,6,0.21,0,0,0,0,0,67,40,0
2,37.58,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,0
2,32.33,2.5,2,1,2,8,1.25,0,0,0,1,0,96,0,1
2,18.08,6.75,3,3,10,8,0.04,0,0,0,0,0,44,0,1
2,38.25,10.125,3,3,9,8,0.125,0,0,0,0,0,52,0,1
2,30.67,2.5,2,1,3,4,2.25,0,0,0,1,2,109,0,1
2,18.58,5.71,2,1,4,8,0.54,0,0,0,0,0,37,0,1
1,19.17,5.415,2,1,7,4,0.29,0,0,0,0,0,23,484,1
1,18.17,10.0,3,3,11,4,0.165,0,0,0,0,0,109,0,1
2,24.58,13.5,3,3,6,3,0.0,0,0,0,0,0,170,0,1
2,16.25,0.835,2,1,10,8,0.085,1,0,0,0,2,67,0,1
2,21.17,0.875,3,3,2,4,0.25,0,0,0,0,0,96,204,1
2,23.92,0.585,3,3,3,4,0.125,0,0,0,0,0,84,1,1
2,17.67,4.46,2,1,2,8,0.25,0,0,0,0,2,23,0,1
1,16.5,1.25,2,1,11,8,0.25,0,1,1,0,0,33,98,1
2,23.25,12.625,2,1,2,8,0.125,0,1,2,0,0,0,5552,1
2,17.58,10.0,2,1,13,4,0.165,0,1,1,0,0,37,1,1
1,31.568169,1.5,2,1,6,3,0.0,0,1,2,1,0,67,105,1
2,29.5,0.58,2,1,13,8,0.29,0,1,1,0,0,109,2803,1
2,18.83,0.415,3,3,2,8,0.165,0,1,1,0,0,67,1,1
1,21.75,1.75,3,3,8,5,0.0,0,0,0,0,0,52,0,1
2,23.0,0.75,2,1,10,8,0.5,0,0,0,1,2,105,0,1
1,18.25,10.0,2,1,13,8,1.0,0,1,1,0,0,37,1,1
2,25.42,0.54,2,1,13,8,0.165,0,1,1,0,0,93,444,1
2,35.75,2.415,2,1,13,8,0.125,0,1,2,0,0,75,1,1
1,16.08,0.335,2,1,6,3,0.0,0,1,1,0,0,52,126,1
1,31.92,3.125,2,1,6,3,3.04,0,1,2,1,0,67,4,1
2,69.17,9.0,2,1,6,3,4.0,0,1,1,0,0,19,6,1
2,32.92,2.5,2,1,1,8,1.75,0,1,2,1,0,163,0,1
2,16.33,2.75,2,1,1,8,0.665,0,1,1,0,0,23,21,1
2,22.17,12.125,2,1,2,8,3.335,0,1,2,1,0,62,173,1
1,57.58,2.0,2,1,6,3,6.5,0,1,1,0,0,0,10,1
2,18.25,0.165,2,1,4,8,0.25,0,0,0,1,2,96,0,1
2,23.42,1.0,2,1,2,8,0.5,0,0,0,1,2,96,0,1
1,15.92,2.875,2,1,11,8,0.085,0,0,0,0,0,37,0,1
1,24.75,13.665,2,1,11,4,1.5,0,0,0,0,0,96,1,1
2,48.75,26.335,3,3,6,3,0.0,1,0,0,1,0,0,0,1
2,23.5,2.75,2,1,6,3,4.5,0,0,0,0,0,52,25,1
2,18.58,10.29,2,1,6,3,0.415,0,0,0,0,0,23,0,1
2,27.75,1.29,2,1,9,4,0.25,0,0,0,1,2,44,0,1
1,31.75,3.0,3,3,8,5,0.0,0,0,0,0,0,52,20,1
1,24.83,4.5,2,1,13,8,1.0,0,0,0,1,0,115,6,1
2,19.0,1.75,3,3,2,8,2.335,0,0,0,1,0,35,6,1
1,16.33,0.21,2,1,1,8,0.125,0,0,0,0,0,67,1,1
1,18.58,10.0,2,1,4,8,0.415,0,0,0,0,0,23,42,1
2,16.25,0.0,3,3,1,8,0.25,0,0,0,0,0,17,0,1
2,23.0,0.75,2,1,10,8,0.5,1,0,0,1,2,105,0,1
2,21.17,0.25,3,3,2,4,0.25,0,0,0,0,0,96,204,1
2,17.5,22.0,1,2,6,7,0.0,0,0,0,1,1,141,100000,0
2,19.17,0.0,3,3,10,1,0.0,0,0,0,1,2,150,1,0
2,36.75,0.125,3,3,2,8,1.5,0,0,0,1,0,82,113,0
2,21.25,1.5,2,1,13,8,1.5,0,0,0,0,0,48,8,0
1,18.08,0.375,1,2,3,3,10.0,0,0,0,1,2,100,0,0
1,33.67,0.375,2,1,3,8,0.375,0,0,0,0,0,100,44,0
2,48.58,0.205,3,3,9,8,0.25,1,1,11,0,0,122,2732,0
2,33.67,1.25,2,1,13,8,1.165,0,0,0,0,0,37,0,1
1,29.5,1.085,3,3,14,8,1.0,0,0,0,0,0,96,13,1
2,30.17,1.085,3,3,2,8,0.04,0,0,0,0,0,57,179,1
0,40.83,3.5,2,1,7,1,0.5,0,0,0,0,2,168,0,1
2,34.83,2.5,3,3,13,8,3.0,0,0,0,0,2,67,0,1
2,31.568169,4.0,3,3,7,8,0.085,0,0,0,1,0,132,0,1
2,20.42,0.0,0,0,0,0,0.0,0,0,0,0,1,170,0,1
1,33.25,2.5,3,3,2,8,2.5,0,0,0,1,0,0,2,1
2,34.08,2.5,2,1,2,8,1.0,0,0,0,0,0,144,16,1
1,25.25,12.5,2,1,4,8,1.0,0,0,0,1,0,62,1062,1
2,34.75,2.5,2,1,3,1,0.5,0,0,0,0,0,110,0,1
2,27.67,0.75,2,1,11,4,0.165,0,0,0,1,0,75,251,1
2,47.33,6.5,2,1,2,8,1.0,0,0,0,1,0,0,228,1
1,34.83,1.25,3,3,7,4,0.5,0,0,0,1,0,52,0,1
1,33.25,3.0,3,3,1,8,2.0,0,0,0,0,0,62,0,1
2,28.0,3.0,2,1,13,8,0.75,0,0,0,1,0,100,67,1
1,39.08,4.0,2,1,2,8,3.0,0,0,0,0,0,147,0,1
2,42.75,4.085,2,1,1,8,0.04,0,0,0,0,0,33,100,1
2,26.92,2.25,2,1,7,1,0.5,0,0,0,1,0,160,4000,1
2,33.75,2.75,2,1,7,1,0.0,0,0,0,0,0,62,0,1
2,38.92,1.75,2,1,9,8,0.5,0,0,0,1,0,100,2,1
2,62.75,7.0,2,1,5,9,0.0,0,0,0,0,0,0,12,1
0,32.25,1.5,2,1,2,8,0.25,0,0,0,1,0,120,122,1
2,26.75,4.5,3,3,2,1,2.5,0,0,0,0,0,67,1210,1
2,63.33,0.54,2,1,2,8,0.585,1,1,3,1,0,62,0,1
2,27.83,1.5,2,1,13,8,2.25,0,1,1,1,0,31,3,1
1,26.17,2.0,2,1,8,5,0.0,0,0,0,1,0,95,1,1
2,22.17,0.585,3,3,6,3,0.0,0,0,0,0,0,31,0,1
2,22.5,11.5,3,3,10,8,1.5,0,0,0,1,0,0,4000,1
2,30.75,1.585,2,1,4,8,0.585,0,0,0,1,2,0,0,1
2,36.67,2.0,2,1,7,8,0.25,0,0,0,1,0,76,0,1
1,16.0,0.165,2,1,1,8,1.0,0,1,2,1,0,105,1,1
2,41.17,1.335,2,1,4,8,0.165,0,0,0,0,0,56,0,1
1,19.5,0.165,2,1,11,8,0.04,0,0,0,1,0,122,0,1
2,32.42,3.0,2,1,4,8,0.165,0,0,0,1,0,37,0,1
1,36.75,4.71,2,1,6,3,0.0,0,0,0,0,0,52,0,1
1,30.25,5.5,2,1,9,8,5.5,0,0,0,1,2,31,0,1
